Country, start, end, startpoint
Austria, 2018, 2020, 2018
Canada, 2016, 2020, 2018
Chinese Taipei, 2010, 2018, 2010
Ecuador, 2013, 2022, 2019
Estonia, 2015, 2020, 2015
Italy, 2012, 2016, 2015
Latvia, 2012, 2019, 2012
Lithuania, 2016, 2016, 2016
New Caledonia, 2009, 2009, 2009
New Zealand, 2014, 2014, 2014
Poland, 2016, 2016, 2016
Spain, 2012, 2012, 2012
